"CD_MUNICIPIO";"NUM_ZONA";"NUM_SECAO";"CD_GRAU_ESCOLARIDADE";"DS_GRAU_ESCOLARIDADE";"QT_ELEITORES"
88013;1;1;6;"ENSINO MÉDIO COMPLETO";1
88013;1;1;1;"ANALFABETO";1
88013;1;1;6;"ENSINO MÉDIO COMPLETO";1
88013;1;1;6;"ENSINO MÉDIO COMPLETO";1
88013;1;1;6;"ENSINO MÉDIO COMPLETO";2
88013;1;1;6;"ENSINO MÉDIO COMPLETO";6
88013;1;1;6;"ENSINO MÉDIO COMPLETO";8
88013;1;1;6;"ENSINO MÉDIO COMPLETO";4
88013;1;1;6;"ENSINO MÉDIO COMPLETO";5
88013;1;1;6;"ENSINO MÉDIO COMPLETO";4
88013;1;1;6;"ENSINO MÉDIO COMPLETO";9
88013;1;1;6;"ENSINO MÉDIO COMPLETO";1
88013;1;1;6;"ENSINO MÉDIO COMPLETO";5
88013;1;1;6;"ENSINO MÉDIO COMPLETO";1
88013;1;1;6;"ENSINO MÉDIO COMPLETO";2
88013;1;1;6;"ENSINO MÉDIO COMPLETO";1
88013;1;1;6;"ENSINO MÉDIO COMPLETO";1
88013;1;1;6;"ENSINO MÉDIO COMPLETO";6
88013;1;1;6;"ENSINO MÉDIO COMPLETO";6
88013;1;1;6;"ENSINO MÉDIO COMPLETO";1
88013;1;1;6;"ENSINO MÉDIO COMPLETO";1
88013;1;1;6;"ENSINO MÉDIO COMPLETO";5
88013;1;1;6;"ENSINO MÉDIO COMPLETO";1
88013;1;1;6;"ENSINO MÉDIO COMPLETO";2
88013;1;1;6;"ENSINO MÉDIO COMPLETO";1
88013;1;1;6;"ENSINO MÉDIO COMPLETO";1
88013;1;1;6;"ENSINO MÉDIO COMPLETO";2
88013;1;1;6;"ENSINO MÉDIO COMPLETO";2
88013;1;1;6;"ENSINO MÉDIO COMPLETO";2
88013;1;1;6;"ENSINO MÉDIO COMPLETO";1
88013;1;1;6;"ENSINO MÉDIO COMPLETO";1
88013;1;1;6;"ENSINO MÉDIO COMPLETO";1
88013;1;1;6;"ENSINO MÉDIO COMPLETO";1
88013;1;10;6;"ENSINO MÉDIO COMPLETO";1
88013;1;10;6;"ENSINO MÉDIO COMPLETO";1
88013;1;10;6;"ENSINO MÉDIO COMPLETO";2
88013;1;10;6;"ENSINO MÉDIO COMPLETO";5
88013;1;10;6;"ENSINO MÉDIO COMPLETO";7
88013;1;10;6;"ENSINO MÉDIO COMPLETO";4
88013;1;10;6;"ENSINO MÉDIO COMPLETO";6
88013;1;10;6;"ENSINO MÉDIO COMPLETO";11
88013;1;10;6;"ENSINO MÉDIO COMPLETO";14
88013;1;10;6;"ENSINO MÉDIO COMPLETO";1
88013;1;10;6;"ENSINO MÉDIO COMPLETO";4
88013;1;10;6;"ENSINO MÉDIO COMPLETO";1
88013;1;10;1;"ANALFABETO";1
88013;1;10;6;"ENSINO MÉDIO COMPLETO";5
88013;1;10;6;"ENSINO MÉDIO COMPLETO";3
88013;1;10;6;"ENSINO MÉDIO COMPLETO";2
88013;1;10;6;"ENSINO MÉDIO COMPLETO";1
88013;1;10;6;"ENSINO MÉDIO COMPLETO";4
88013;1;10;6;"ENSINO MÉDIO COMPLETO";2
88013;1;10;6;"ENSINO MÉDIO COMPLETO";3
88013;1;10;6;"ENSINO MÉDIO COMPLETO";4
88013;1;10;1;"ANALFABETO";1
88013;1;10;6;"ENSINO MÉDIO COMPLETO";2
88013;1;10;6;"ENSINO MÉDIO COMPLETO";1
88013;1;10;6;"ENSINO MÉDIO COMPLETO";2
88013;1;10;6;"ENSINO MÉDIO COMPLETO";1
88013;1;10;6;"ENSINO MÉDIO COMPLETO";1
88013;1;10;6;"ENSINO MÉDIO COMPLETO";2
88013;1;10;6;"ENSINO MÉDIO COMPLETO";2
88013;1;10;6;"ENSINO MÉDIO COMPLETO";1
88013;1;100;6;"ENSINO MÉDIO COMPLETO";2
88013;1;100;6;"ENSINO MÉDIO COMPLETO";1
88013;1;100;6;"ENSINO MÉDIO COMPLETO";4
88013;1;100;6;"ENSINO MÉDIO COMPLETO";6
88013;1;100;6;"ENSINO MÉDIO COMPLETO";7
88013;1;100;6;"ENSINO MÉDIO COMPLETO";6
88013;1;100;6;"ENSINO MÉDIO COMPLETO";4
88013;1;100;6;"ENSINO MÉDIO COMPLETO";5
88013;1;100;6;"ENSINO MÉDIO COMPLETO";3
88013;1;100;6;"ENSINO MÉDIO COMPLETO";2
88013;1;100;6;"ENSINO MÉDIO COMPLETO";2
88013;1;100;6;"ENSINO MÉDIO COMPLETO";2
88013;1;100;6;"ENSINO MÉDIO COMPLETO";12
88013;1;100;6;"ENSINO MÉDIO COMPLETO";7
88013;1;100;6;"ENSINO MÉDIO COMPLETO";2
88013;1;100;6;"ENSINO MÉDIO COMPLETO";8
88013;1;100;6;"ENSINO MÉDIO COMPLETO";6
88013;1;100;6;"ENSINO MÉDIO COMPLETO";5
88013;1;100;6;"ENSINO MÉDIO COMPLETO";2
88013;1;100;6;"ENSINO MÉDIO COMPLETO";1
88013;1;100;6;"ENSINO MÉDIO COMPLETO";1
88013;1;100;6;"ENSINO MÉDIO COMPLETO";1
88013;1;100;6;"ENSINO MÉDIO COMPLETO";1
88013;1;100;6;"ENSINO MÉDIO COMPLETO";1
88013;1;100;6;"ENSINO MÉDIO COMPLETO";1
88013;1;101;6;"ENSINO MÉDIO COMPLETO";1
88013;1;101;6;"ENSINO MÉDIO COMPLETO";2
88013;1;101;6;"ENSINO MÉDIO COMPLETO";7
88013;1;101;6;"ENSINO MÉDIO COMPLETO";7
88013;1;101;6;"ENSINO MÉDIO COMPLETO";5
88013;1;101;6;"ENSINO MÉDIO COMPLETO";4
88013;1;101;1;"ANALFABETO";1
88013;1;101;6;"ENSINO MÉDIO COMPLETO";8
88013;1;101;6;"ENSINO MÉDIO COMPLETO";4
88013;1;101;6;"ENSINO MÉDIO COMPLETO";1
88013;1;101;6;"ENSINO MÉDIO COMPLETO";1
88013;1;101;6;"ENSINO MÉDIO COMPLETO";4
88013;1;101;6;"ENSINO MÉDIO COMPLETO";5
88013;1;101;6;"ENSINO MÉDIO COMPLETO";6
88013;1;101;6;"ENSINO MÉDIO COMPLETO";5
88013;1;101;6;"ENSINO MÉDIO COMPLETO";7
88013;1;101;6;"ENSINO MÉDIO COMPLETO";2
88013;1;101;6;"ENSINO MÉDIO COMPLETO";2
88013;1;101;6;"ENSINO MÉDIO COMPLETO";4
88013;1;101;6;"ENSINO MÉDIO COMPLETO";1
88013;1;101;6;"ENSINO MÉDIO COMPLETO";1
88013;1;101;6;"ENSINO MÉDIO COMPLETO";1
88013;1;101;6;"ENSINO MÉDIO COMPLETO";1
88013;1;101;6;"ENSINO MÉDIO COMPLETO";2
88013;1;101;6;"ENSINO MÉDIO COMPLETO";1
88013;1;102;6;"ENSINO MÉDIO COMPLETO";1
88013;1;102;6;"ENSINO MÉDIO COMPLETO";3
88013;1;102;6;"ENSINO MÉDIO COMPLETO";2
88013;1;102;6;"ENSINO MÉDIO COMPLETO";3
88013;1;102;6;"ENSINO MÉDIO COMPLETO";4
88013;1;102;6;"ENSINO MÉDIO COMPLETO";3
88013;1;102;6;"ENSINO MÉDIO COMPLETO";4
88013;1;102;6;"ENSINO MÉDIO COMPLETO";10
88013;1;102;6;"ENSINO MÉDIO COMPLETO";2
88013;1;102;6;"ENSINO MÉDIO COMPLETO";7
88013;1;102;6;"ENSINO MÉDIO COMPLETO";4
88013;1;102;6;"ENSINO MÉDIO COMPLETO";3
88013;1;102;6;"ENSINO MÉDIO COMPLETO";1
88013;1;102;6;"ENSINO MÉDIO COMPLETO";1
88013;1;102;6;"ENSINO MÉDIO COMPLETO";5
88013;1;102;6;"ENSINO MÉDIO COMPLETO";2
88013;1;102;6;"ENSINO MÉDIO COMPLETO";7
88013;1;102;6;"ENSINO MÉDIO COMPLETO";1
88013;1;102;6;"ENSINO MÉDIO COMPLETO";5
88013;1;102;6;"ENSINO MÉDIO COMPLETO";1
88013;1;102;6;"ENSINO MÉDIO COMPLETO";3
88013;1;102;1;"ANALFABETO";1
88013;1;102;6;"ENSINO MÉDIO COMPLETO";2
88013;1;102;6;"ENSINO MÉDIO COMPLETO";1
